city,location,mean,std,count,volatility
Karachi,Korangi Road,8329921.052631579,10767623.034096692,38,1.2926440678204263
Karachi,Lalukhet,5667777.777777778,9242475.017247515,9,1.6307052569148721
Karachi,Landhi,7268150.684931506,6626810.150339706,73,0.9117601488475683
Karachi,Laraib Garden,5325000.0,763216.8761236875,4,0.14332711288707747
Karachi,Liaquat Avenue,6725000.0,1254657.987926059,4,0.1865662435577783
Karachi,Liaquatabad,4904673.580786026,6102393.661444238,458,1.2441997537512506
Karachi,Lines Area,6640000.0,10643337.82231871,6,1.60291232263836
Karachi,Lyari Expressway,2966058.8235294116,2854684.8002579077,17,0.9624505008504936
Karachi,Lyari Town,4139473.6842105263,4109899.260301226,19,0.9928555110708619
Karachi,M. A. Jinnah Road,8363820.512820513,6469239.168117452,39,0.7734789571585204
Karachi,MT Khan Road,9894166.666666666,8324986.736726171,6,0.8414035276738319
Karachi,Malir,17879370.761115298,23080558.052988976,1327,1.2909043814441954
Karachi,Malir Housing Scheme 1,50005333.333333336,43364156.688829236,3,0.8671906334423508
Karachi,Malir Link To Super Highway,13273660.0,6878851.611962125,100,0.518233223689783
Karachi,Manghopir Road,5620181.818181818,2789078.766122672,11,0.4962613054794311
Karachi,Mangopir,5250000.0,4171930.0090006306,2,0.7946533350477392
Karachi,Manzoor Colony,9328090.909090908,8021142.922793409,55,0.8598911611138156
Karachi,Maqboolabad Society,10768571.42857143,14510365.465844786,7,1.3474735773535884
Karachi,Maskan Chowrangi,5796250.0,4996934.853821224,16,0.8620978829107135
Karachi,Mauripur Road,3500000.0,,1,0.0
Karachi,Mehmoodabad,4738046.5587044535,5041909.423322288,247,1.0641325197743354
Karachi,Muslimabad Society,49803214.28571428,85094602.9991445,28,1.7086166870870683
Karachi,National Highway,19891666.666666668,41440350.52355556,12,2.08330207910627
Karachi,Naval Colony,17936111.111111112,26516941.341425013,18,1.4784108537886023
Karachi,Naval Housing Scheme,71822000.0,55011469.61759138,40,0.765941767391487
Karachi,Navy Housing Scheme Karsaz,72226914.41441442,58228721.17830271,222,0.8061914543961458
Karachi,Naya Nazimabad,11299613.861386139,5008729.846917873,101,0.44326557600645705
Karachi,Nazimabad,11078436.431989064,16286428.860047817,1463,1.4701017566901984
Karachi,New Karachi,7471196.180555556,4949673.78545892,288,0.6625008453587232
Karachi,Nishtar Road (Lawrence Road),3681300.0,2220121.921076508,10,0.6030809553898101
Karachi,Nooriabad,6200000.0,,1,0.0
Karachi,North Karachi,9555030.771967271,8900934.721329918,2811,0.9315443281923955
Karachi,North Nazimabad,18923051.13122172,27912554.44114223,3094,1.4750557004567015
Karachi,Northern Bypass,8423987.951807229,3920047.658663671,83,0.4653434550345824
Karachi,Numaish Chowrangi,16318181.818181818,6181717.913625334,11,0.3788239389965386
Karachi,Old Clifton,14428125.0,38624861.15902,8,2.677053405000303
Karachi,Old Queens Road,11260000.0,15895760.441073589,2,1.4117016377507627
Karachi,Old Ravians Co-Operative Housing Society,34250000.0,15564382.416273382,4,0.45443452310287247
Karachi,Orangi Town,5512555.118110236,8815392.148006143,127,1.5991481189993355
Karachi,Others,20333333.333333332,9237604.307034012,3,0.45430840854265636
